form	lemma	upos	freq.samp	errtype	is_correct	rand_int	BAMTINOF
capitaes	capitae	NOUN	1	lemma	FALSE		O
cathedra	cathedra	NOUN	1	correct	TRUE	483	O
magnata	magnata	NOUN	1	correct	TRUE	497	
jardins	jardin	NOUN	1	lemma	FALSE		
lerás	lerá	NOUN	1	lemmupos	FALSE		
adormecida	adormecer	VERB	1	lemmupos	FALSE		A
veria	ver	VERB	1	correct	TRUE	510	
confundindo	confundir	VERB	1	correct	TRUE	368	
olivedo	olivedo	NOUN	1	correct	TRUE	433	
acabas	acaba	NOUN	1	lemmupos	FALSE		
coitado	coitar	VERB	1	upos	FALSE		
attendendo	attender	VERB	1	correct	TRUE	524	O
hei	h	AUX	1	lemma	FALSE		
duvidarás	duvidar	VERB	1	features	FALSE		
admiravel	admiravel	ADJ	1	correct	TRUE	462	
propria	propr	VERB	1	lemmupos	FALSE		
fructos	fructo	ADJ	1	upos	FALSE		
chorar	chorar	VERB	1	correct	TRUE	322	
só	só	NOUN	1	upos	FALSE		
el-rei	el-rei	PROPN	1	features	FALSE		
geraes	gerae	ADJ	1	lemma	FALSE		O
dominava	dominar	VERB	1	correct	TRUE	422	
ella	elle	PRON	2	lemma	FALSE		O
ámanhã	ámanhã	ADV	1	correct	TRUE	436	O
vaes	vae	NOUN	1	lemmupos	FALSE		O
saloia	saloiar	VERB	1	lemmupos	FALSE		
alvura	alvura	NOUN	1	correct	TRUE	523	
eguaes	eguae	NOUN	1	lemmupos	FALSE		O
fernando	fernando	ADV	1	upos	FALSE		N
corando	corar	VERB	1	correct	TRUE	493	
sorrisos	sorriso	NOUN	1	correct	TRUE	415	
m'a	m'a	NOUN	1	tokenization	FALSE		M
ruina	ruina	NOUN	1	correct	TRUE	511	T O
vinham	ver	VERB	1	lemma	FALSE		
impares	impar	ADJ	1	features	FALSE		T O
eterno	eterno	ADJ	1	correct	TRUE	476	
descerrou	descerrar	VERB	1	correct	TRUE	514	
caçoem	caçoem	PROPN	1	lemmupos	FALSE		
achas	achar	VERB	1	features	FALSE		
morgada	morgar	VERB	1	lemmupos	FALSE		A
plateias	plateia	NOUN	1	correct	TRUE	413	T O
refrigerio	refrigerio	NOUN	1	correct	TRUE	343	T O
restavam	restar	VERB	1	correct	TRUE	330	
educado	educar	VERB	1	correct	TRUE	332	A
cançada	cançar	VERB	1	lemmupos	FALSE		A
reçumava	reçumava	NOUN	1	upos	FALSE		
d'	dsegundo	NOUN	1	lemmupos	FALSE		
lareira	lareiro	ADJ	1	lemmupos	FALSE		
colhel	colhel	ADJ	1	lemmupos	FALSE		I
extraordinario	extraordinario	ADJ	1	correct	TRUE	448	T O
chegára	chegárar	VERB	1	lemma	FALSE		O
á	á	ADV	7	lemmupos	FALSE		
alli	alli	ADV	1	features	FALSE		O
inquieta	inquieta	NOUN	1	upos	FALSE		
formoso	formoso	ADJ	1	correct	TRUE	528	
ninguem	ninguem	PRON	2	features	FALSE		T O
improvisos	improviso	NOUN	1	correct	TRUE	363	
planta	planta	NOUN	1	features	FALSE		A
estás	está	NOUN	1	upos	FALSE		
brandir	brandir	NOUN	1	features	FALSE		
luxar	luxar	VERB	1	correct	TRUE	373	
sábia	sábia	NOUN	1	upos	FALSE		
cadaver	cadaver	NOUN	1	features	FALSE		T O
mostrar-te	_	_	1	correct	TRUE	410	
invejosos	invejoso	ADJ	1	correct	TRUE	427	
morto	morto	NOUN	1	features	FALSE		
abobadas	abobada	NOUN	1	correct	TRUE	508	
rocio	rocio	PROPN	1	correct	TRUE	393	
suppôr	suppor	VERB	1	lemma	FALSE		O
sitio	sitio	NOUN	1	correct	TRUE	461	T O
loureiro	loureiro	NOUN	1	correct	TRUE	362	A	
olhão	olhão	PROPN	1	correct	TRUE	399	N	
comprehendeu	comprehender	VERB	1	correct	TRUE	342	O
gabar-se	_	_	1	correct	TRUE	339	
lançar-me	_	_	1	correct	TRUE	360	
tristemente	tristemente	ADV	1	correct	TRUE	367	
morras	morro	NOUN	1	lemma	FALSE		
alli	alli	NOUN	1	upos	FALSE		O
desprender	desprender	VERB	1	features	FALSE		
vindas	vindas	NOUN	1	lemmupos	FALSE		
comtudo	comtudo	ADV	1	upos	FALSE		I
impudentemente	impudentemente	ADV	1	correct	TRUE	536	O
viscondessa	viscondessa	PROPN	1	correct	TRUE	485	
circumstancia	circumstancia	NOUN	1	correct	TRUE	411	O
redemoinhava	redemoinhar	VERB	1	correct	TRUE	359	
encovarem-se-lhes	_	_	1	correct	TRUE	349	M
doces	doce	NOUN	1	upos	FALSE		A
p'rá	p'r	VERB	1	tokenization	FALSE		M
retirado	retirar	VERB	1	correct	TRUE	525	
demora	demora	ADV	1	correct	TRUE	471	A
capuana	capuana	PROPN	1	correct	TRUE	507	N	
pró	pró	ADJ	1	tokenization	FALSE		M O
vivera	viver	VERB	1	features	FALSE		
conhecia	conheciar	VERB	1	lemma	FALSE		
arranjou	arranjar	VERB	1	correct	TRUE	401	
modista	modista	ADJ	1	upos	FALSE		
creados	crear	VERB	1	lemmupos	FALSE		O
virtutum	virtutum	PRON	1	upos	FALSE		F
circumstantes	circumstante	NOUN	1	correct	TRUE	468	O
capellão	capellão	NOUN	1	correct	TRUE	441	O
levasse	levar	VERB	1	correct	TRUE	425	
deixar-se-hia	deixar-se-hio	ADJ	1	lemmupos	FALSE		M O
bello	bello	NOUN	1	upos	FALSE		A O
poderosa	poderosa	PROPN	1	features	FALSE		
