form	lemma	upos	freq.samp	errtype	is_correct	randomID
hochzeitsreise	hochzeitsreise	NOUN	1	features	FALSE	53
sie's	sie's	PROPN	1	lemmupos	FALSE	68
gnäd'gen	gnäd'g	ADJ	1	correct	TRUE	17
genant	nanen	NOUN	1	lemmupos	FALSE	65
gewaltsamem	gewaltsamem	ADJ	1	correct	TRUE	28
abgefunden	abgefunden	VERB	1	lemma	FALSE	76
aeronauten	aeronau	NOUN	1	lemma	FALSE	76
papageien	papagei	NOUN	1	correct	TRUE	38
staunen	staune	NOUN	1	lemma	FALSE	62
rosigen	rosig	ADJ	1	correct	TRUE	16
lauffeuer	lauffeuer	NOUN	1	features	FALSE	58
denn	dennen	ADV	1	lemma	FALSE	64
mein	mein	ADJ	1	upos	FALSE	88
gespült	spülen	VERB	1	correct	TRUE	2
bovillard	bovillard	PROPN	1	correct	TRUE	49
zigarette	zigarette	NOUN	1	correct	TRUE	6
glaubst	glauben	VERB	1	features	FALSE	55
bekümmert	bekümmern	VERB	1	correct	TRUE	15
habn	habn	VERB	1	lemma	FALSE	90
matrone	matrone	PROPN	1	upos	FALSE	48
ungebrochenen	ungebrochen	ADJ	1	correct	TRUE	50
buße	muß|buße	NOUN	1	lemma	FALSE	53
»wir	»wu	PRON	1	lemma	FALSE	45
gleiten	gleiten	VERB	1	correct	TRUE	10
küßte	küßen	VERB	1	lemma	FALSE	65
zorn	zorn	NOUN	1	correct	TRUE	68
nannette	nannette	NOUN	1	upos	FALSE	91
morone	morone	PROPN	1	correct	TRUE	82
innigsten	innig	ADJ	1	correct	TRUE	81
stött	stött	NOUN	1	correct	TRUE	45
haberfeldtreiber	haberfeldtreiber	NOUN	1	features	FALSE	86
pochte	pochen	VERB	1	correct	TRUE	71
wahrhaftes	wahrhaftes	ADJ	1	lemma	FALSE	90
deine	deine	PROPN	1	upos	FALSE	81
daseins	dasein	NOUN	1	correct	TRUE	19
merke	merken	NOUN	1	upos	FALSE	50
cordova	cordova	PROPN	1	correct	TRUE	25
wer?	wer?	X	1	correct	TRUE	43
kokettes	kokett	ADJ	1	correct	TRUE	31
verklagen	verklagen	VERB	1	correct	TRUE	64
unterhaltung	unterhaltung	NOUN	1	lemma	FALSE	58
halbumschleierter	halbumschleiert	ADJ	1	correct	TRUE	12
wohlfart	wohlfart	PROPN	1	correct	TRUE	36
kinderfreund	kinderfreund	NOUN	1	correct	TRUE	51
