form	lemma	upos	freq.samp	errtype	is_correct	rand_int	groupID	BAMTINOF
vpraša	vprašati	VERB	1	lemma	FALSE	12	lemma-1	
koren	koren	PROPN	1	correct	TRUE			
hrib	hrib	NOUN	1	correct	TRUE			
zateleban	zateleben	ADJ	1	lemma	FALSE	39	lemma-1	
jej	jaj	PRON	1	lemma	FALSE	151	lemma-1	
pavlina	pavlin	PROPN	1	lemma	FALSE	78	lemma-1	
duša	duša	NOUN	1	correct	TRUE			
slabotnega	slaboten	ADJ	1	correct	TRUE			
ohladil	ohladiti	VERB	1	correct	TRUE			
toskane	toskan	PROPN	1	lemma	FALSE	75	lemma-1	
virida	virid	NOUN	1	lemmupos	FALSE	108	lemmupos-1	
cerkljah	cerklje	PROPN	1	correct	TRUE			
menihi	menih	VERB	1	upos	FALSE	79	upos-1	
tovariša	tovariš	NOUN	1	features	FALSE	46	features-1	
mogočno	mogočno	ADV	1	correct	TRUE			
grenki	grenki	NOUN	1	lemmupos	FALSE	19	lemmupos-1	
nemogoč	nemogoč	ADV	1	upos	FALSE	6	upos-1	
zabliskalo	zabliskati	VERB	1	correct	TRUE			
napósled	napósled	ADP	1	lemmupos	FALSE	20	lemmupos-1	
odrezali	odrezati	VERB	1	features	FALSE	51	features-1	
mali	mati	ADJ	1	lemma	FALSE	40	lemma-1	
počenil	počeniti	VERB	1	correct	TRUE			
žepa	žep	NOUN	1	correct	TRUE			
ognjenim	ognjen	ADJ	1	correct	TRUE			
roditeljema	roditeljema	VERB	1	lemmupos	FALSE	62	lemmupos-1	
strela	streti	VERB	1	lemmupos	FALSE	39	lemmupos-1	
cerkvico	cerkvica	NOUN	1	correct	TRUE			
odide	odid	VERB	1	lemma	FALSE	132	lemma-1	
plaho	plaho	ADJ	1	upos	FALSE	10	upos-1	
jel	jeti	VERB	1	correct	TRUE			
popačeno	popačen	ADJ	1	correct	TRUE			
li	liti	VERB	1	lemmupos	FALSE	89	lemmupos-1	
duška	dušek	NOUN	1	correct	TRUE			
