form	lemma	upos	freq.samp	errtype	is_correct	randomID
unbestimmten	unbestimmt	ADJ	1	correct	TRUE	35
nachher	nachher	ADJ	1	upos	FALSE	80
fliegender	fliegend	ADJ	1	correct	TRUE	18
papageien	papagei	NOUN	1	correct	TRUE	35
kummervoll	kummervollen	ADJ	1	lemma	FALSE	56
blutspur	blutspur	NOUN	1	features	FALSE	53
that	thaben	VERB	1	lemma	FALSE	59
genüge	genug	NOUN	1	lemma	FALSE	38
kindischen	kindisch	ADJ	1	correct	TRUE	20
rühren	rühren	VERB	1	correct	TRUE	14
erwachte	erwachen	VERB	1	correct	TRUE	82
vergißt	vergißen	VERB	1	lemma	FALSE	45
unverbesserliche	unverbesserlich	ADJ	1	correct	TRUE	52
deiner	dein	NOUN	1	upos	FALSE	99
einsamer	einsam	ADJ	1	correct	TRUE	51
die	d	DET	1	correct	TRUE	11
wenn's	wenn's	PROPN	1	tokenization	FALSE	43
hingen	hingen	VERB	1	lemma	FALSE	73
altäre	altar	NOUN	1	correct	TRUE	20
instrumente	instrumente	NOUN	1	correct	TRUE	11
sonntagmorgen	sonntagmorgen	PROPN	1	upos	FALSE	54
willst	willen	ADV	2	lemmupos	FALSE	101
bindematerial	bindematerial	NOUN	1	correct	TRUE	100
demonstrativ	demonstrativ	ADJ	1	correct	TRUE	10
keck	keck	NOUN	1	upos	FALSE	78
versetzte	versetzn	VERB	1	lemma	FALSE	94
schickedanz	schickedanz	NOUN	1	upos	FALSE	96
hinauszufahren	hinauszufahren	VERB	1	lemma	FALSE	49
wölfe	wölfe	NOUN	1	lemma	FALSE	56
lotterbette	lotterbette	PROPN	1	correct	TRUE	87
wollust	wollust	NOUN	1	features	FALSE	88
widerwärtiges	widerwärtig	ADJ	1	correct	TRUE	42
wußte	wußen	AUX	2	lemmupos	FALSE	101
mädel	mädel	PROPN	1	upos	FALSE	92
mitgetheilt	mitgetheilen	VERB	1	lemma	FALSE	95
sabinens	sabinens	ADV	1	upos	FALSE	51
anzündete	anzünden	VERB	1	correct	TRUE	54
gewißheit	gewißheit	NOUN	1	features	FALSE	85
hacken	hacken	NOUN	1	features	FALSE	84
»könnte	»können	NOUN	1	tokenization	FALSE	82
wahrhaftes	wahrhaftes	ADJ	1	lemma	FALSE	33
sitzende	sitzend	ADJ	1	correct	TRUE	24
ungekanntes	ungekanntes	ADJ	1	lemma	FALSE	59
sturmnacht	sturmnacht	NOUN	1	correct	TRUE	96
besen	bese	NOUN	1	lemma	FALSE	31
gedanke	gedanke	NOUN	1	features	FALSE	60
sage	sagen	NOUN	2	upos	FALSE	101
zurücklässt	zurücklassen	VERB	1	correct	TRUE	46
aufging	aufgehen	VERB	1	correct	TRUE	20
graf.	graf.	NOUN	1	tokenization	FALSE	49
verbreitet	verbreitet	VERB	1	correct	TRUE	69
unnennbares	unnennbar	ADJ	1	correct	TRUE	99
verlorene	verlorene	ADJ	1	tokenization	FALSE	91
herantretenden	herantretend	ADJ	1	correct	TRUE	63
