form	lemma	upos	freq.samp	errtype	is_correct	BAMTINOF
átszolgáltatá	átszolgáltatá	PROPN	1	lemmupos	FALSE	
leány	leány	NOUN	4	correct	TRUE	
nézett	néz	VERB	5	correct	TRUE	
elkésett	elkésik	VERB	1	lemmupos	FALSE	
gazság.	gazság	NOUN	1	tokenization	FALSE	
jánosról	jános	ADJ	1	lemmupos	FALSE	
hanem	hanem	CONJ	6	correct	TRUE	
gondolkozni	gondolkozik	VERB	2	correct	TRUE	
katalin	katalin	PROPN	2	correct	TRUE	
identität	identitä	PROPN	1	lemmupos	FALSE	
így	így	CONJ	1	upos	FALSE	
amint	amint	PRON	7	correct	TRUE	
derzsi	derzsi	ADJ	1	lemmupos	FALSE	
érinté	érinté	VERB	1	lemma	FALSE	
se	se	ADV	3	correct	TRUE	
”	”	NOUN	3	upos	FALSE	
lehete	lehete	NOUN	1	upos	FALSE	
halljuk	hall	VERB	1	features	FALSE	
teendő	teendő	NOUN	1	upos	FALSE	
tiz	tiz	NOUN	1	upos	FALSE	
certa	cerik	VERB	1	lemmupos	FALSE	
vére	vér	NOUN	2	correct	TRUE	
meredtek	mered	VERB	1	features	FALSE	
annyi	annyi	PRON	3	correct	TRUE	
czifra	czifra	NOUN	1	upos	FALSE	
fog	fog	VERB	2	upos	FALSE	
ugy	ugy	PROPN	1	upos	FALSE	
melylyel	melylyel	NOUN	1	lemmupos	FALSE	
kilencz	kilencz	NOUN	1	upos	FALSE	
közt	közt	ADP	5	correct	TRUE	
különös	különös	ADJ	2	correct	TRUE	
einfühlung	einfühlung	PROPN	1	upos	FALSE	
fel	fel	ADP	6	correct	TRUE	
fölhuzván	fölhuzv	NOUN	1	lemmupos	FALSE	
gondolá	gondolá	VERB	1	lemma	FALSE	
lehetett	van	VERB	4	correct	TRUE	
lehet	van	VERB	6	correct	TRUE	
ujra	uj	NOUN	1	upos	FALSE	
vala	vala	VERB	1	features	FALSE	
ujra	ujr	NOUN	1	lemmupos	FALSE	
olykorolykor	olykorolykor	ADV	1	upos	FALSE	
itt	itt	PRON	4	features	FALSE	
azért	azért	PRON	1	features	FALSE	
anélkül	anélkül	PRON	1	features	FALSE	
mellé	mellé	ADV	1	upos	FALSE	
