doc_id	sentence_id	id	form	lemma	upos	xpos	feats	EV_lemma	EV_tok	EV_upos	EV_feats_errors
SL-WIKI001351056	3	1	Premalo	premalo	ADV	Rgp	Degree=Pos				
SL-WIKI001351056	3	2	ne	ne	PART	Q	Polarity=Neg				
SL-WIKI001351056	3	3	bodem	bosti	NUM	Mlc-pn	Case=Nom|Number=Plur|NumForm=Word|NumType=Card				
SL-WIKI001351056	3	4	storila	storiti	VERB	Vmep-sf	Aspect=Perf|Gender=Fem|Number=Sing|VerbForm=Part				
SL-WIKI001351056	3	5	,	,	PUNCT	Z	_				
SL-WIKI001351056	3	6	o	o	ADP	Sl	Case=Loc				
SL-WIKI001351056	3	7	tem	ta	DET	Pd-nsl	Case=Loc|Gender=Neut|Number=Sing|PronType=Dem				
SL-WIKI001351056	3	8	smeš	smeti	VERB	Vmpr2s	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin				
SL-WIKI001351056	3	9	biti	biti	AUX	Va-n	VerbForm=Inf				
SL-WIKI001351056	3	10	prepričana	prepričan	ADJ	Appfsn	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing|VerbForm=Part				
SL-WIKI001351056	3	11	,	,	PUNCT	Z	_				
SL-WIKI001351056	3	12	ti	ta	DET	Pd-mpn	Case=Nom|Gender=Masc|Number=Plur|PronType=Dem				
SL-WIKI001351056	3	13	umna	umen	NOUN	Ncfsn	Case=Nom|Gender=Fem|Number=Sing				
SL-WIKI001351056	3	14	Elizabeta	Elizabet	PROPN	Npmsg	Case=Gen|Gender=Masc|Number=Sing				
SL-WIKI001351056	3	15	.	.	PUNCT	Z	_				
SL-WIKI0041725	4	1	Za	za	ADP	Sa	Case=Acc				
SL-WIKI0041725	4	2	petdeset	petdeset	NUM	Mlc-pa	Case=Acc|Number=Plur|NumForm=Word|NumType=Card				
SL-WIKI0041725	4	3	cekinov	cekin	NOUN	Ncmpg	Case=Gen|Gender=Masc|Number=Plur				
