form	lemma	upos	freq.samp	errtype	is_correct	BAMTINOF
zurücklässt	zurücklassen	VERB	1	correct	TRUE	
fragte	fragte	VERB	1	features	FALSE	
sage	sagen	NOUN	1	correct	TRUE	
küßte	küßen	VERB	1	lemma	FALSE	
gieshübler	gieshübler	ADJ	1	upos	FALSE	
lehrhaft	lehrhafen	ADJ	1	lemma	FALSE	
»nachher	»nachher	ADJ	1	lemmupos	FALSE	
stött	stött	NOUN	1	correct	TRUE	
doralice	doralice	NOUN	1	features	FALSE	
fliegender	fliegend	ADJ	1	correct	TRUE	
kusine	kusine	NOUN	1	features	FALSE	
drin	drin	NOUN	1	upos	FALSE	
aeronauten	aeronau	NOUN	1	lemma	FALSE	
scheren	scheren	VERB	1	correct	TRUE	
komödienlicht	komödienlicht	NOUN	1	correct	TRUE	
gnädigste	gnädig	ADJ	1	features	FALSE	
habn	habn	VERB	1	lemma	FALSE	
fuhr	fuhr	VERB	1	correct	TRUE	
gedanke	gedanke	NOUN	1	features	FALSE	
tu?	tu?	X	1	correct	TRUE	
beseligende	beseligend	ADJ	1	features	FALSE	
buttervogel	buttervogel	NOUN	1	features	FALSE	
auszudrücken	auszudrücken	VERB	1	lemma	FALSE	
genüge	genug	NOUN	1	lemma	FALSE	
nachbar	nachbar	PROPN	1	upos	FALSE	
›wissen	›wissen	VERB	1	allwrong	FALSE	
»wollen	»wollen	NOUN	1	lemmupos	FALSE	
dazumal	dazumal	ADV	1	correct	TRUE	
bekümmert	bekümmeren	VERB	1	lemmupos	FALSE	
aufschub	aufschub	NOUN	1	features	FALSE	
fad	fad	NOUN	1	lemmupos	FALSE	
bewandtniß	bewandtniß	NOUN	1	features	FALSE	
durchwachte	durchwachen	VERB	1	correct	TRUE	
stampfte	stampfen	VERB	1	correct	TRUE	
gehorchte	gehorchen	VERB	1	correct	TRUE	
hauser	hauser	NOUN	2	features	FALSE	
fangen	fangen	VERB	1	features	FALSE	
gedächtnis	gedächtnis	NOUN	2	correct	TRUE	
kindlich	kindlich	ADJ	1	correct	TRUE	
seufzend	seufzend	ADV	1	correct	TRUE	
tafel	tafel	NOUN	1	correct	TRUE	
altäre	altar	NOUN	1	correct	TRUE	
zertrat	zertreten	VERB	1	correct	TRUE	
'n	'n	PROPN	1	lemmupos	FALSE	
sakramente	sakrament	NOUN	1	correct	TRUE	
»sind	»sind	NOUN	2	lemmupos	FALSE	
sage	sagen	NOUN	2	upos	FALSE	
fünfzehnten	fünfzehnt	ADJ	1	lemma	FALSE	
bekümmert	bekümmern	VERB	1	correct	TRUE	
gestanden	gestehen	VERB	1	lemma	FALSE	
»auf	»auf	ADV	1	lemmupos	FALSE	
grützbrei	grützbrei	NOUN	1	correct	TRUE	
göttlichkeit	göttlichkeit	NOUN	1	correct	TRUE	
unklug	unklug	ADJ	1	correct	TRUE	
betrachtete	betrachtet	VERB	1	correct	TRUE	
rühren	rühren	VERB	1	correct	TRUE	
lippen	lippe	NOUN	1	correct	TRUE	
unbeweglich	unbeweglich	ADJ	1	correct	TRUE	
beisammen	beisammen	VERB	1	upos	FALSE	
hastig	hastig	ADJ	1	upos	FALSE	
empfing	empfangen	VERB	1	features	FALSE	
gewährte	gewährn	VERB	1	lemma	FALSE	
stickig	stickig	ADJ	1	correct	TRUE	
das	der	SCONJ	1	correct	TRUE	
rauchte	rauchen	VERB	1	correct	TRUE	
repräsentations-	repräsentations-	NOUN	1	correct	TRUE	
daseins	dasein	NOUN	1	correct	TRUE	
kindl	kindl	PROPN	1	upos	FALSE	
klugen	klug	NOUN	1	upos	FALSE	
instrumente	instrumente	NOUN	1	correct	TRUE	
eingewickelt	eingewickeln	VERB	1	lemma	FALSE	
schach	schach	PROPN	1	correct	TRUE	
bemerkte	bemerkt	ADJ	1	lemmupos	FALSE	
verheimlichte	verheimlichen	VERB	1	correct	TRUE	
sack	sack	NOUN	1	correct	TRUE	
bums	ben	NOUN	1	lemma	FALSE	
»ich	»ich	ADV	2	lemmupos	FALSE	
heruntergeneigt	heruntergeneigen	VERB	1	features	FALSE	
lotterbette	lotterbette	PROPN	1	correct	TRUE	
