form	lemma	upos	freq.samp	errtype	is_correct	rand_int	groupID	BAMTINOF
sirotek	sirotek	NOUN	1	features	FALSE			
nežaloval	žalovat	VERB	1	correct	TRUE	69	correct-1	
ložnicí	ložnice	NOUN	1	correct	TRUE	51	correct-1	
útrpnosti	útrpnost	NOUN	1	features	FALSE			
načež	načež	NOUN	2	lemmupos	FALSE			
hladíc	hladet	VERB	1	lemma	FALSE			
žíti	žít	VERB	1	correct	TRUE	34	correct-1	
harpunu	harpuna	NOUN	1	correct	TRUE	216	correct-1	
šlak	šlak	PROPN	1	correct	TRUE	133	correct-1	
doubic	doubice	PROPN	1	lemma	FALSE			
vynutiť	vynutiť	PART	1	lemmupos	FALSE			
nýrska	nýrsko	PROPN	1	correct	TRUE	18	correct-1	
utíraje	utírát	VERB	1	features	FALSE			
laně	laň	NOUN	1	features	FALSE			
je	být	PRON	1	correct	TRUE	97	correct-1	
ledabylo	ledabýt	VERB	1	lemmupos	FALSE			
dosáhnouti	dosáhnout	NOUN	1	upos	FALSE			
zasnoubili	zasnoubit	VERB	1	correct	TRUE	276	correct-1	
lidmilino	lidmilino	PROPN	1	lemmupos	FALSE			
lodie	lodie	NOUN	1	features	FALSE			
soběckých	soběcký	ADJ	1	upos	FALSE			
štýrského	štýrský	ADJ	1	correct	TRUE	149	correct-1	
jmenujte	jmenovat	VERB	1	correct	TRUE	402	correct-1	
vdáti	vdát	VERB	1	correct	TRUE	131	correct-1	
prochlasce	prochlaska	NOUN	1	lemmupos	FALSE			
ořech	ořecha	NOUN	1	lemmupos	FALSE			
zouvák	zouvák	NOUN	1	correct	TRUE	19	correct-1	
svědkové	svědkový	NOUN	1	lemma	FALSE			
dráb	dráb	PROPN	1	upos	FALSE			
ovinuto	ovinutý	ADJ	1	correct	TRUE	57	correct-1	
fricek	fricek	PROPN	1	correct	TRUE	158	correct-1	
upozorním	upozorní	ADJ	1	lemmupos	FALSE			
verunce	verunka	NOUN	1	upos	FALSE			
dvéře	dvéra	NOUN	1	lemma	FALSE			
ovísek	ovísek	NOUN	1	features	FALSE			
nivec	nivec	NOUN	1	correct	TRUE	79	correct-1	
oblékati	oblékat	VERB	1	correct	TRUE	31	correct-1	
nepůjdu	nepůjda	VERB	1	lemma	FALSE			
jiříku	jiřík	PROPN	1	features	FALSE			
ha	h	PROPN	1	lemmupos	FALSE			
přidružilo	přidružit	VERB	1	correct	TRUE	161	correct-1	
uhodl	uhodnout	VERB	1	correct	TRUE	252	correct-1	
neublížil	ublížit	VERB	1	correct	TRUE	269	correct-1	
povyrostl	povyrostl	VERB	1	correct	TRUE	267	correct-1	
pojďte	pojdit	VERB	1	lemma	FALSE			
mladíkovo	mladíkův	ADJ	1	features	FALSE			
soběslavově	soběslavově	ADJ	1	lemma	FALSE			
díky	dík	ADP	1	lemmupos	FALSE			
račte	račíst	VERB	1	lemma	FALSE			
zasáhly	zasáhnout	VERB	1	correct	TRUE	117	correct-1	
vítkoviči	vítkovič	PROPN	1	features	FALSE			
všecky	všecky	ADV	1	correct	TRUE	284	correct-1	
kacíře	kacíř	NOUN	1	features	FALSE			
mluvte	mluvit	VERB	1	features	FALSE			
límců	límec	NOUN	1	correct	TRUE	13	correct-1	
baltazar	baltazar	PROPN	1	features	FALSE			
zkvétá	zkvétat	VERB	1	correct	TRUE	228	correct-1	
přišedšího	přišedší	ADJ	1	features	FALSE			
přelstěni	přelstěný	ADJ	1	features	FALSE			
kousajíce	kousat	VERB	1	features	FALSE			
vrhli	vrhnout	VERB	1	correct	TRUE	215	correct-1	
