form	lemma	upos	freq.samp	errtype	is_correct	BAMTINOF
fejét	fe	NOUN	2	lemma	FALSE	
fejét	fej	NOUN	4	correct	TRUE	
kiállni	kiáll	VERB	1	correct	TRUE	
kulcsolt	kulcsol	ADJ	1	lemma	FALSE	
jer	jer	NOUN	2	lemmupos	FALSE	
hirét	hire	NOUN	1	lemma	FALSE	
illey	illey	PROPN	1	correct	TRUE	
sétálni	sétál	VERB	1	correct	TRUE	
sirdombon	sirdomb	NOUN	1	correct	TRUE	
félóra	féló	NOUN	1	lemma	FALSE	
hátha	hátha	SCONJ	3	upos	FALSE	
lakodalom	lakodalom	NOUN	1	correct	TRUE	
legyet	legy	NOUN	1	lemma	FALSE	
fiút	fiú	NOUN	1	correct	TRUE	
mutatva	mutatva	ADV	1	correct	TRUE	
őszintén	őszint	NOUN	1	lemmupos	FALSE	
magában	maga	NOUN	2	upos	FALSE	
anyja	anya	NOUN	1	correct	TRUE	
folyt	foly	NOUN	1	lemmupos	FALSE	
bolondkompánia	bolondkompánia	VERB	1	upos	FALSE	
heverhettem	heverhesz	VERB	1	lemma	FALSE	
vonalunkra	vonal	NOUN	1	correct	TRUE	
dolognak	dolog	NOUN	1	correct	TRUE	
megértette	megért	VERB	1	correct	TRUE	
többet	több	VERB	1	lemmupos	FALSE	
csúnya	csúny	NOUN	1	lemmupos	FALSE	
maguk	maga	NOUN	1	upos	FALSE	
előjoggal	előjoggal	NOUN	1	lemma	FALSE	
igy	igy	CCONJ	2	upos	FALSE	
asszony	asszony	NOUN	4	correct	TRUE	
szánalmas	szánalmas	ADJ	1	correct	TRUE	
lassanlassan	lassanlassú	ADJ	1	lemmupos	FALSE	
elöl	elöl	NOUN	1	upos	FALSE	
leveleket	level	NOUN	1	lemma	FALSE	
épen	épen	ADV	2	features	FALSE	
vonaláról	vonal	NOUN	1	correct	TRUE	
szilárdsággal	szilárdság	NOUN	1	correct	TRUE	
odaengednem	odaengedn	VERB	1	lemma	FALSE	
tétovázva	tétovázva	ADV	1	correct	TRUE	
hát	ha	NOUN	3	lemmupos	FALSE	
dehogy	dehogy	CCONJ	1	upos	FALSE	
férfit	férfi	NOUN	1	correct	TRUE	
nagyságát	nagyság	NOUN	1	correct	TRUE	
felocsudott	felocsud	VERB	1	correct	TRUE	
tiszta	tiszta	VERB	2	upos	FALSE	
hebegte	hebeg	VERB	1	correct	TRUE	
képzeled	képzeled	VERB	1	lemma	FALSE	
lásd	lá	VERB	1	lemma	FALSE	
megsegiti	megsegiti	VERB	1	lemma	FALSE	
férjén	férj	NOUN	1	correct	TRUE	
bencsik	bencsik	NOUN	1	upos	FALSE	
borítva	borítva	ADV	1	correct	TRUE	
műértői	műértői	ADJ	1	correct	TRUE	
bolondsággal	bolondság	NOUN	1	correct	TRUE	
fokozatosan	fokozatos	ADJ	1	correct	TRUE	
örökség	örökség	NOUN	1	correct	TRUE	
szóban	szó	NOUN	1	correct	TRUE	
baraczkpályinka	baraczkpályinka	NOUN	1	features	FALSE	
előmutattam	előmutat	VERB	1	features	FALSE	
díjat	díj	NOUN	1	correct	TRUE	
lány	lány	NOUN	1	correct	TRUE	
politikussal	politikus	NOUN	1	correct	TRUE	
te	te	ADV	2	upos	FALSE	
bizony	bizony	NOUN	2	upos	FALSE	
jóska	jóska	PROPN	1	correct	TRUE	
folytatta	folytat	VERB	2	features	FALSE	
csilapul	csilapul	VERB	1	correct	TRUE	
játékból	játék	NOUN	1	correct	TRUE	
lassabban	lassab	ADJ	1	lemma	FALSE	
odaborult	odaborul	VERB	2	correct	TRUE	
martirnak	martir	NOUN	1	correct	TRUE	
hiú	hiú	ADJ	1	correct	TRUE	
