form	lemma	upos	freq.samp	errtype	is_correct	rand_int	groupID	BAMTINOF
sirotek	sirotek	NOUN	1	features	FALSE			
nežaloval	žalovat	VERB	1	correct	TRUE	69	correct-1	
ložnicí	ložnice	NOUN	1	correct	TRUE	51	correct-1	
útrpnosti	útrpnost	NOUN	1	features	FALSE			
načež	načež	NOUN	2	lemmupos	FALSE			
hladíc	hladet	VERB	1	lemma	FALSE			M
žíti	žít	VERB	1	correct	TRUE	34	correct-1	M
harpunu	harpuna	NOUN	1	correct	TRUE	216	correct-1	
šlak	šlak	PROPN	1	correct	TRUE	133	correct-1	ON
doubic	doubice	PROPN	1	lemma	FALSE			N
vynutiť	vynutiť	PART	1	lemmupos	FALSE			M
nýrska	nýrsko	PROPN	1	correct	TRUE	18	correct-1	N
utíraje	utírát	VERB	1	features	FALSE			M
laně	laň	NOUN	1	features	FALSE			
je	být	PRON	1	correct	TRUE	97	correct-1	
ledabylo	ledabýt	VERB	1	lemmupos	FALSE			O
dosáhnouti	dosáhnout	NOUN	1	upos	FALSE			M
zasnoubili	zasnoubit	VERB	1	correct	TRUE	276	correct-1	
lidmilino	lidmilino	PROPN	1	lemmupos	FALSE			N
lodie	lodie	NOUN	1	features	FALSE			F
soběckých	soběcký	ADJ	1	upos	FALSE			O
štýrského	štýrský	ADJ	1	correct	TRUE	149	correct-1	N
jmenujte	jmenovat	VERB	1	correct	TRUE	402	correct-1	
vdáti	vdát	VERB	1	correct	TRUE	131	correct-1	M
prochlasce	prochlaska	NOUN	1	lemmupos	FALSE			M
ořech	ořecha	NOUN	1	lemmupos	FALSE			
zouvák	zouvák	NOUN	1	correct	TRUE	19	correct-1	O
svědkové	svědkový	NOUN	1	lemma	FALSE			
dráb	dráb	PROPN	1	upos	FALSE			O
ovinuto	ovinutý	ADJ	1	correct	TRUE	57	correct-1	
fricek	fricek	PROPN	1	correct	TRUE	158	correct-1	O
upozorním	upozorní	ADJ	1	lemmupos	FALSE			
verunce	verunka	NOUN	1	upos	FALSE			N
dvéře	dvéra	NOUN	1	lemma	FALSE			O
ovísek	ovísek	NOUN	1	features	FALSE			O
nivec	nivec	NOUN	1	correct	TRUE	79	correct-1	O
oblékati	oblékat	VERB	1	correct	TRUE	31	correct-1	M
nepůjdu	nepůjda	VERB	1	lemma	FALSE			
jiříku	jiřík	PROPN	1	features	FALSE			N
ha	h	PROPN	1	lemmupos	FALSE			
přidružilo	přidružit	VERB	1	correct	TRUE	161	correct-1	
uhodl	uhodnout	VERB	1	correct	TRUE	252	correct-1	
neublížil	ublížit	VERB	1	correct	TRUE	269	correct-1	
povyrostl	povyrostl	VERB	1	correct	TRUE	267	correct-1	
pojďte	pojdit	VERB	1	lemma	FALSE			
mladíkovo	mladíkův	ADJ	1	features	FALSE			
soběslavově	soběslavově	ADJ	1	lemma	FALSE			N
díky	dík	ADP	1	lemmupos	FALSE			
račte	račíst	VERB	1	lemma	FALSE			O
zasáhly	zasáhnout	VERB	1	correct	TRUE	117	correct-1	
vítkoviči	vítkovič	PROPN	1	features	FALSE			N
všecky	všecky	ADV	1	correct	TRUE	284	correct-1	O
kacíře	kacíř	NOUN	1	features	FALSE			
mluvte	mluvit	VERB	1	features	FALSE			
límců	límec	NOUN	1	correct	TRUE	13	correct-1	
baltazar	baltazar	PROPN	1	features	FALSE			N
zkvétá	zkvétat	VERB	1	correct	TRUE	228	correct-1	O
přišedšího	přišedší	ADJ	1	features	FALSE			O
přelstěni	přelstěný	ADJ	1	features	FALSE			
kousajíce	kousat	VERB	1	features	FALSE			M
