"form"	"lemma"	"upos"	"freq.samp"	"errtype"	"is_correct"	"BAMTINOF"
"épanouissait"	"épanouisser"	"VERB"	1	"lemma"	"FALSE"	
"voyant"	"voir"	"AUX"	2	"correct"	"TRUE"	
"petit-château"	"petit-château"	"PROPN"	2	"correct"	"TRUE"	
"chargiez"	"chargier"	"VERB"	1	"lemma"	"FALSE"	
"astucieuse"	"astucieur"	"NOUN"	1	"lemmupos"	"FALSE"	
"pressé"	"presser"	"ADJ"	1	"lemma"	"FALSE"	
"féroces"	"féroce"	"ADJ"	2	"correct"	"TRUE"	
"délire"	"délire"	"NOUN"	1	"correct"	"TRUE"	
"belle-fille"	"belle-fille"	"NOUN"	1	"correct"	"TRUE"	
"pleurait"	"pleurait"	"VERB"	1	"lemma"	"FALSE"	
"adieu"	"adieu"	"PROPN"	1	"upos"	"FALSE"	
"barricade"	"barricade"	"NOUN"	2	"correct"	"TRUE"	
"houillère"	"houiller"	"NOUN"	1	"lemma"	"FALSE"	
"-elle"	"elle"	"PRON"	1	"lemma"	"FALSE"	
"appréhension"	"appréhension"	"NOUN"	1	"correct"	"TRUE"	
"fourmis"	"fourmis"	"PROPN"	1	"lemmupos"	"FALSE"	
"étrange"	"étrange"	"PROPN"	1	"upos"	"FALSE"	
"entre-bâillure"	"entre-bâillure"	"NOUN"	1	"correct"	"TRUE"	
"provençal"	"provençal"	"ADJ"	1	"upos"	"FALSE"	
"-là"	"-là"	"PART"	1	"lemma"	"FALSE"	
"resta"	"rester"	"NOUN"	1	"upos"	"FALSE"	
"bouleversées"	"bouleverser"	"VERB"	1	"correct"	"TRUE"	
"jusqu’"	"jusqu’"	"PROPN"	3	"lemmupos"	"FALSE"	
"bavardaient"	"bavarder"	"VERB"	1	"correct"	"TRUE"	
"pis"	"pir"	"VERB"	1	"lemmupos"	"FALSE"	
"labourait"	"labourait"	"NOUN"	1	"lemmupos"	"FALSE"	
"brisée"	"briser"	"VERB"	2	"correct"	"TRUE"	
"valaient"	"valaenir"	"VERB"	1	"lemma"	"FALSE"	
"femme"	"femme"	"ADP"	1	"upos"	"FALSE"	
"ranimer"	"ranimer"	"VERB"	2	"correct"	"TRUE"	
"brûlantes"	"brûlant"	"ADJ"	1	"correct"	"TRUE"	
"vois"	"vois"	"ADV"	1	"lemmupos"	"FALSE"	
"tassée"	"tasser"	"ADJ"	1	"upos"	"FALSE"	
"présente"	"présenter"	"ADJ"	1	"lemma"	"FALSE"	
"boas"	"boas"	"NOUN"	1	"lemma"	"FALSE"	
"affaissait"	"affaisser"	"VERB"	1	"correct"	"TRUE"	
"envahissante"	"envahissant"	"ADJ"	2	"correct"	"TRUE"	
"reverrons"	"reverr"	"VERB"	1	"lemma"	"FALSE"	
"ah"	"ah"	"PROPN"	2	"upos"	"FALSE"	
"ébranla"	"ébranla"	"PROPN"	1	"lemmupos"	"FALSE"	
"bruyants"	"bruyant"	"ADJ"	1	"correct"	"TRUE"	
"efforçait"	"efforcer"	"VERB"	1	"correct"	"TRUE"	
"enchanta"	"enchanter"	"VERB"	1	"correct"	"TRUE"	
"encrassé"	"encrasser"	"VERB"	1	"correct"	"TRUE"	
