"form"	"lemma"	"upos"	"freq.samp"	"errtype"	"is_correct"	"randomID"	"BAMTINOF"
"unbestimmten"	"unbestimmt"	"ADJ"	1	"correct"	"TRUE"	35	
"nachher"	"nachher"	"ADJ"	1	"upos"	"FALSE"	80	
"fliegender"	"fliegend"	"ADJ"	1	"correct"	"TRUE"	18	"A"
"papageien"	"papagei"	"NOUN"	1	"correct"	"TRUE"	35	
"kummervoll"	"kummervollen"	"ADJ"	1	"lemma"	"FALSE"	56	
"blutspur"	"blutspur"	"NOUN"	1	"features"	"FALSE"	53	
"that"	"thaben"	"VERB"	1	"lemma"	"FALSE"	59	"O"
"genüge"	"genug"	"NOUN"	1	"lemma"	"FALSE"	38	"M"
"kindischen"	"kindisch"	"ADJ"	1	"correct"	"TRUE"	20	
"rühren"	"rühren"	"VERB"	1	"correct"	"TRUE"	14	
"erwachte"	"erwachen"	"VERB"	1	"correct"	"TRUE"	82	"A"
"vergißt"	"vergißen"	"VERB"	1	"lemma"	"FALSE"	45	"O"
"unverbesserliche"	"unverbesserlich"	"ADJ"	1	"correct"	"TRUE"	52	
"deiner"	"dein"	"NOUN"	1	"upos"	"FALSE"	99	
"einsamer"	"einsam"	"ADJ"	1	"correct"	"TRUE"	51	"A"
"die"	"d"	"DET"	1	"correct"	"TRUE"	11	
"wenn's"	"wenn's"	"PROPN"	1	"tokenization"	"FALSE"	43	"B"
"hingen"	"hingen"	"VERB"	1	"lemma"	"FALSE"	73	
"altäre"	"altar"	"NOUN"	1	"correct"	"TRUE"	20	
"instrumente"	"instrumente"	"NOUN"	1	"correct"	"TRUE"	11	
"sonntagmorgen"	"sonntagmorgen"	"PROPN"	1	"upos"	"FALSE"	54	
"willst"	"willen"	"ADV"	2	"lemmupos"	"FALSE"	101	
"bindematerial"	"bindematerial"	"NOUN"	1	"correct"	"TRUE"	100	
"demonstrativ"	"demonstrativ"	"ADJ"	1	"correct"	"TRUE"	10	
"keck"	"keck"	"NOUN"	1	"upos"	"FALSE"	78	
"versetzte"	"versetzn"	"VERB"	1	"lemma"	"FALSE"	94	"A"
"schickedanz"	"schickedanz"	"NOUN"	1	"upos"	"FALSE"	96	
"hinauszufahren"	"hinauszufahren"	"VERB"	1	"lemma"	"FALSE"	49	
"wölfe"	"wölfe"	"NOUN"	1	"lemma"	"FALSE"	56	
"lotterbette"	"lotterbette"	"PROPN"	1	"correct"	"TRUE"	87	
"wollust"	"wollust"	"NOUN"	1	"features"	"FALSE"	88	
"widerwärtiges"	"widerwärtig"	"ADJ"	1	"correct"	"TRUE"	42	
"wußte"	"wußen"	"AUX"	2	"lemmupos"	"FALSE"	101	"O"
"mädel"	"mädel"	"PROPN"	1	"upos"	"FALSE"	92	"O"
"mitgetheilt"	"mitgetheilen"	"VERB"	1	"lemma"	"FALSE"	95	
"sabinens"	"sabinens"	"ADV"	1	"upos"	"FALSE"	51	"N"
"anzündete"	"anzünden"	"VERB"	1	"correct"	"TRUE"	54	
