form	lemma	upos	freq.samp	errtype	is_correct	BAMTINOF
æg	æg	ADJ	5	lemmupos	FALSE	
fløtta	fløtte	VERB	1	correct	TRUE	
bry	bry	VERB	1	correct	TRUE	
ska	ske	ADJ	2	lemmupos	FALSE	
spyrja	spyrja	NOUN	1	lemmupos	FALSE	
skuld	skuld	ADJ	1	lemmupos	FALSE	
alt	all	PRON	1	correct	TRUE	
ska	ske	ADJ	1	correct	TRUE	
kløkt	kløkke	ADJ	1	correct	TRUE	
pianorome	pianorome	PROPN	1	lemmupos	FALSE	
hi	hi	PROPN	1	tokenization	FALSE	
reiv	rive	VERB	2	correct	TRUE	
daa	dae	ADJ	2	lemmupos	FALSE	
late	lare	VERB	1	lemma	FALSE	
grov	grave	VERB	1	correct	TRUE	
maale	maale	PROPN	1	lemmupos	FALSE	
verden	verden	PROPN	1	upos	FALSE	
utkrota	utkrote	ADJ	1	correct	TRUE	
ædru	ædru	VERB	1	upos	FALSE	
livande	livande	ADJ	1	lemma	FALSE	
lengi	lengi	NOUN	2	lemmupos	FALSE	
leidd	leie	VERB	1	correct	TRUE	
barne	barn	NOUN	1	features	FALSE	
klaart	klaar	ADJ	1	correct	TRUE	
bygdi	bygdi	PROPN	1	lemmupos	FALSE	
sume	sume	PROPN	1	lemmupos	FALSE	
skulde	skulle	VERB	2	correct	TRUE	
mode	mode	NOUN	1	lemmupos	FALSE	
kjærleik	kjærleik	PROPN	1	upos	FALSE	
daniel	daniel	ADV	1	correct	TRUE	
likså	likså	ADV	1	correct	TRUE	
va	v	VERB	1	lemmupos	FALSE	
altfor	altfor	ADP	1	correct	TRUE	
robert	robert	ADJ	1	upos	FALSE	
anda	and	VERB	1	lemma	FALSE	
fyrr	fyrr	ADV	1	correct	TRUE	
aandlaust	aandlaust	ADJ	1	correct	TRUE	
presteson	presteson	PROPN	1	lemmupos	FALSE	
taka	tak	VERB	1	lemma	FALSE	
lengi	lengi	VERB	1	lemmupos	FALSE	
lìvande	lìve	ADJ	1	correct	TRUE	
syrjeleg	syrjeleg	ADJ	1	correct	TRUE	
uppe	uppe	ADJ	1	correct	TRUE	
umvend	umvend	ADJ	1	correct	TRUE	
aa	aa	NOUN	1	lemmupos	FALSE	
kvelden	kvelden	NOUN	1	lemma	FALSE	
dem	dem	PROPN	1	lemmupos	FALSE	
paa	pa	VERB	1	lemmupos	FALSE	
dagar	dagar	PROPN	1	lemmupos	FALSE	
husmo	husmo	PROPN	1	correct	TRUE	
